COMPONENTE;VERSIÓN;QTY;PART NUMBER;DESCRIPTION;PROVEEDOR;FABRICANTE;PRECIO
SIL-026-KIT_MET;26;1;CDR-AU-30-BRAB-02;Caja soporte de rabbit;MET;;5,03
SIL-026-KIT_MET;26;1;CDR-AU-30-SSPD-02;Conjunto soldado soporte de display;MET;;14,50
SIL-026-KIT_MET;26;1;DSPY-AUT-04-BOXR-01;Conjunto caja display;MET;;16,87
SIL-026-KIT_MET;26;1;DSPY-AUT-04-SOPO-01;Soporte trasero del display;MET;;4,33
SIL-026-KIT_MET;26;1;SIL-026-CPCFM-01;Chapa palanca de cambios;MET;;2,27
SIL-026-KIT_MET;26;1;SIL-026-CSEG-02;Soporte cinturón de seguridad;MET;;4,38
SIL-026-KIT_MET;26;1;SIL-026-RCIN-02;Soporte de carrete de cinturón;MET;;4,51
SIL-026-KIT_MET;26;1;SIL-026-SBD-01;Conjunto soldado brazo derecho;MET;;40,05
SIL-026-KIT_MET;26;1;SIL-026-SBI-01;Conjunto soldado brazo izquierdo;MET;;40,05
SIL-026-KIT_MET;26;1;SIL-026-SFIJ-02;Conjunto soldado unión asiento-soporte trasero;MET;;19,00
SIL-026-KIT_MET;26;1;SIL-026-SPCF-01;Conjunto soporte palanca de cambios - freno de mano;MET;;10,71
SIL-026-KIT_MET;26;1;SIL-026-SPEA-02;Conjunto soldado peana asiento;MET;;48,30
SIL-026-KIT_MET;26;1;SIL-026-SSPN-01;Conjunto soldado soporte plugpanel y regleta;MET;;19,12
SIL-026-KIT_MET;26;1;SIL-026-SSDL-02;Conjunto soldado suelo delantero;MET;;113,72
SIL-026-KIT_MET;26;2;SIL-026-SSOPCUBI-02;Conjunto soldado soporte de cubremanetas;MET;;3,07
SIL-026-KIT_MET;26;1;SIL-026-SSTR-02;Conjunto soldado suelo trasero;MET;;80,33
SIL-026-KIT_MET;26;1;SIL-026-STRA-02;Conjunto soldado soporte fibra y cinturon;MET;;36,04
SIL-026-KIT_MET;26;2;SIL-026-TVFR-02;Conjunto soldado estructura TVs;MET;;9,88
SIL-026-KIT_MET;26;1;SPMAN-CONJS-03;Conjunto soldado soporte de manetas;MET;;11,45
SIL-026-KIT_MET;26;1;SIL-026-SCHD01-MET01;Botonera derecha;MET;;7,20
SIL-026-KIT_MET;26;1;V03_SIL_SMC_D03_D_SALP-GEN-SALP-IZDA-CHAPA;Botonera izquierda;MET;;2,86
SIL-026-KIT_MET;26;1;BRZ-CON-04-PLUGPANEL001;Plugpanel;MET;;1,69
SIL-026-KIT_MET;26;1;CDR-AU-V025-SPLACU001;Soporte de clausor;MET;;4,56
SIL-026-KIT_MET;26;1;SIL-026-SHCT-01;Conjunto herraje palanca de cambios 1;MET;;3,39
SIL-026-KIT_MET;26;1;SIL-026-SHCT02-01;Conjunto herraje palanca de cambios 2;MET;;3,39
SIL-026-KIT_MET;26;4;SIL-026-SHPC-01;Conjunto herraje freno de mano;MET;;2,17
SIL-026-KIT_MET;26;6;SIL-026-SHTRAS-01;Conjunto Herraje suelo trasero y carcasa trasera inferior;MET;;1,67
SIL-026-KIT_MET;26;1;SIL-026-SHTRAS2-01;Conjunto herraje carcasa trasera inferior;MET;;1,67
SIL-026-KIT_MET;26;2;SIL-026-SHBRAZO-01;Conjunto herraje brazo TVs;MET;;2,29
SIL-026-KIT_MET;26;3;SIL-026-HCDI2-01;Herraje parte interior salpicadero 1;MET;;1,06
SIL-026-KIT_MET;26;1;SIL-026-HCDI3-01;Herraje parte interior salpicadero 2;MET;;0,98
SIL-026-KIT_MET;26;1;SIL-026-HCOL2-01;Herraje para colgar carcasa superior;MET;;1,63
SIL-026-KIT_MET;26;1;SIL-026-HCOLG-01;Herraje colgador superior;MET;;1,96
SIL-026-KIT_MET;26;1;SIL-026-HSUP-01;Herraje unión carcasas delanteras;MET;;1,05
SIL-026-KIT_MET;26;2;SIL-026-HCDI-01;Chapa herraje carcasa frontal;MET;;0,95
SIL-026-KIT_MET;26;6;SIL-026-STVZ-02;Z's Televisores;MET;;8,04
